REPORTDATETIME,OFFENSE,BLOCKSITEADDRESS,LATITUDE,LONGITUDE
2011-01-01,ROBBERY,1700 B/O NORTH CAPITOL ST,38.9132251258,-77.0090490034
2011-01-01,ROBBERY,400 B/O M ST SW,38.876461591,-77.0187256935
2011-01-01,THEFT F/AUTO,1000 B/O 4TH ST NW,38.9031276063,-77.0161740433
2011-01-01,ADW,1400 B/O CEDAR ST SE,38.8621813347,-76.9857368118
2011-01-01,THEFT F/AUTO,700 B/O 6TH ST NW,38.8990606015,-77.0199056847
2011-01-01,THEFT F/AUTO,2400 B/O 22ND ST NE,38.9220401491,-76.9741955339
2011-01-01,STOLEN AUTO,1600 B/O 1ST ST NE,38.9118884536,-77.0065790833
2011-01-01,ADW,1400 B/O ALABAMA AVE SE,38.8458584163,-76.9839292874
2011-01-01,ROBBERY,2100 B/O NEW HAMPSHIRE AVE NW,38.918589175,-77.0350859763
2011-01-01,ROBBERY,700 B/O COLUMBIA RD NW,38.9279677435,-77.0245884682
2011-01-01,ADW,UNIT B/O M ST NE,38.9056447081,-77.0076022919
2011-01-01,SEX ABUSE,200 B/O CROMWELL TER NE,38.9229041045,-77.0027690964
2011-01-01,ROBBERY,13TH ST NW & U ST NW,38.9169992764,-77.0296213729
2011-01-01,STOLEN AUTO,4800 B/O ILLINOIS AVE NW,38.9491080018,-77.0229933189
2011-01-01,ADW,600 B/O 46TH PL SE,38.881085749,-76.9355348613
2011-01-01,ADW,3300 B/O WHEELER RD SE,38.8414401237,-76.9937879452
2011-01-01,ROBBERY,500 B/O FLORIDA AVE NE,38.9064682851,-76.9988834653
2011-01-01,ADW,400 B/O 16TH ST NE,38.8957479211,-76.9822153641
2011-01-01,STOLEN AUTO,3200 B/O GEORGIA AVE NW,38.9305614351,-77.0234837675
2011-01-01,ROBBERY,200 B/O OAKWOOD ST SE,38.8477931557,-77.0044502281
2011-01-01,STOLEN AUTO,900 B/O S ST NW,38.914089352,-77.0249786021
2011-01-01,THEFT F/AUTO,300 B/O G ST SW,38.8812897384,-77.0163758259
2011-01-01,ADW,400 B/O 16TH ST NE,38.8957479211,-76.9822153641
2011-01-01,THEFT F/AUTO,1600 B/O 40TH ST SE,38.8665170947,-76.9467946207
2011-01-01,SEX ABUSE,600 B/O 46TH PL SE,38.881085749,-76.9355348613
2011-01-01,BURGLARY,1600 B/O 16TH ST NW,38.9118198864,-77.0364777889
2011-01-01,BURGLARY,500 B/O 6TH ST NE,38.8970275234,-76.9984459203
2011-01-01,ADW,3000 B/O 16TH ST NW,38.9279222696,-77.036479395
2011-01-01,ROBBERY,600 B/O ALABAMA AVE SE,38.8432701139,-76.9967933894
2011-01-01,BURGLARY,1900 B/O 17TH ST SE,38.8666265859,-76.9807781657
2011-01-01,THEFT F/AUTO,1200 B/O 1ST ST NE,38.9064060125,-77.0058879768
2011-01-01,ROBBERY,7TH ST NE & EAST CAPITOL ST,38.8898053095,-76.9961731869
2011-01-01,STOLEN AUTO,12TH ST SE & SOUTHERN AVE SE,38.8333576618,-76.9857259844
2011-01-01,THEFT,1000 B/O H ST NW,38.8998173983,-77.0265140555
2011-01-01,ROBBERY,42ND ST NE & FOOTE ST NE,38.8975177475,-76.9425988562
2011-01-01,THEFT F/AUTO,1100 B/O ANACOSTIA RD SE,38.876045846,-76.9607251061
2011-01-01,THEFT F/AUTO,900 B/O 52ND ST NE,38.9026897424,-76.9252783451
2011-01-01,ADW,4200 B/O EAST CAPITOL ST,38.8897776369,-76.9402072166
2011-01-01,THEFT F/AUTO,3500 B/O 11TH ST NW,38.9336802349,-77.028494575
2011-01-01,THEFT F/AUTO,700 B/O 7TH ST NW,38.8991300563,-77.0219166288
2011-01-01,THEFT F/AUTO,500 B/O 4TH ST SW,38.8822623314,-77.0175609968
2011-01-01,BURGLARY,4900 B/O 43RD ST NW,38.9540098795,-77.0837815426
2011-01-01,THEFT,8TH ST NW & G ST NW,38.8984559289,-77.0229328836
2011-01-01,STOLEN AUTO,3200 B/O EAST CAPITOL ST,38.889955418,-76.9607376204
2011-01-01,THEFT F/AUTO,4100 B/O 13TH ST NW,38.9413354378,-77.0297030293
2011-01-01,SEX ABUSE,100 B/O P ST NW,38.9096411021,-77.0136739246
2011-01-01,THEFT,4500 B/O WISCONSIN AVE NW,38.9487465815,-77.0801503595
2011-01-01,BURGLARY,5000 B/O NEBRASKA AVE NW,38.9553633963,-77.0709851881
2011-01-01,STOLEN AUTO,5700 B/O 6TH ST NE,38.9589134965,-76.9982332864
2011-01-01,THEFT F/AUTO,1400 B/O OTIS PL NW,38.9352352945,-77.0337730327
2011-01-01,BURGLARY,2600 B/O STANTON RD SE,38.8584703579,-76.9905950116
2011-01-01,BURGLARY,3300 B/O DENT PL NW,38.9117334554,-77.0670074807
2011-01-01,THEFT F/AUTO,1800 B/O NORTH CAPITOL ST,38.9148187004,-77.0090480525
2011-01-01,THEFT,2200 B/O 13TH ST NE,38.9200486523,-76.9878193465
2011-01-01,THEFT,300 B/O 40TH ST NE,38.8933572358,-76.9469890802
2011-01-01,SEX ABUSE,5100 B/O ASTOR PL SE,38.8868851167,-76.9268285138
2011-01-01,ROBBERY,900 B/O LONGFELLOW ST NW,38.9573101612,-77.0269918929
2011-01-01,THEFT F/AUTO,500 B/O 9TH ST NW,38.8967107673,-77.02396889
2011-01-01,THEFT F/AUTO,17TH ST NW & I ST NW,38.9013403822,-77.0394473362
2011-01-01,BURGLARY,1200 B/O 34TH ST NW,38.9060045119,-77.067838756
2011-01-01,ADW,100 B/O 35TH ST NE,38.891825426,-76.9539796823
2011-01-01,BURGLARY,1800 B/O COLUMBIA RD NW,38.9215825152,-77.0434998117
2011-01-01,STOLEN AUTO,4TH ST NW & OGLETHORPE ST NW,38.9613168565,-77.018032567
2011-01-01,THEFT F/AUTO,2600 B/O PENNSYLVANIA AVE NW,38.9045317744,-77.0559019606
2011-01-01,THEFT F/AUTO,800 B/O CHESAPEAKE ST SE,38.829230914,-76.9929459799
2011-01-02,HOMICIDE,4500 B/O NEW HAMPSHIRE AVE NW,38.9455287306,-77.0174641099
2011-01-02,HOMICIDE,13TH PL SE & CONGRESS ST SE,38.8421121867,-76.9874665747
2011-01-02,THEFT F/AUTO,1400 B/O SPRING RD NW,38.9373960578,-77.0343178236
2011-01-02,THEFT F/AUTO,UNIT B/O M ST NW,38.9056479901,-77.0096653537
2011-01-02,THEFT F/AUTO,1300 B/O NEW YORK AVE NW,38.8998296528,-77.0306222661
2011-01-02,BURGLARY,5200 B/O AMES ST NE,38.8907768492,-76.9270085895
2011-01-02,ROBBERY,CALVERT ST NW & WOODLEY PL NW,38.9234681826,-77.0503604972
2011-01-02,THEFT F/AUTO,2500 B/O BLADENSBURG RD NE,38.9231203551,-76.9676194197
2011-01-02,THEFT F/AUTO,3600 B/O 13TH ST NE,38.9341366837,-76.988802928
2011-01-02,THEFT F/AUTO,1100 B/O NORTH CAPITOL ST,38.9046266572,-77.0091032515
2011-01-02,THEFT F/AUTO,7TH ST NW & T ST NW,38.9155720735,-77.0219189574
2011-01-02,ROBBERY,1600 B/O COLUMBIA RD NW,38.9257111972,-77.0378376397
2011-01-02,ADW,1600 B/O NEW YORK AVE NE,38.9172315969,-76.9801448084
2011-01-02,THEFT F/AUTO,2100 B/O BLADENSBURG RD NE,38.9196978205,-76.9705257998
2011-01-02,BURGLARY,1600 B/O W ST SE,38.8630282026,-76.9802681963
2011-01-02,STOLEN AUTO,1300 B/O G ST NE,38.8989411166,-76.9870113779
2011-01-02,THEFT,3500 B/O 10TH ST NW,38.9337203424,-77.0273480746
2011-01-02,THEFT,2200 B/O SAVANNAH TER SE,38.8497032431,-76.972698585
2011-01-02,THEFT F/AUTO,1400 B/O PERRY PL NW,38.9364880665,-77.0335807905
2011-01-02,BURGLARY,1700 B/O M ST NW,38.9056470851,-77.0400913128
2011-01-02,THEFT,1300 B/O NICHOLSON ST NW,38.9602399814,-77.03171548
2011-01-02,BURGLARY,5600 B/O COLORADO AVE NW,38.9578167588,-77.0319258273
2011-01-02,STOLEN AUTO,700 B/O HAMILTON ST NW,38.953038138,-77.0230151365
2011-01-02,BURGLARY,3100 B/O MARTIN LUTHER KING JR AVE SE,38.843399625,-76.9994712755
2011-01-02,THEFT F/AUTO,800 B/O 51ST ST NE,38.9007850797,-76.9271276821
2011-01-02,THEFT F/AUTO,3000 B/O MOUNT PLEASANT ST NW,38.9283003987,-77.0371776814
2011-01-02,ADW,1700 B/O LINCOLN RD NE,38.9133224697,-77.00832491
2011-01-02,BURGLARY,2100 B/O PENNSYLVANIA AVE NW,38.901681429,-77.0477555138
2011-01-02,THEFT F/AUTO,8TH PL NE & RHODE ISLAND AVE NE,38.9217001937,-76.9947672263
2011-01-02,THEFT F/AUTO,3200 B/O 13TH ST NW,38.9301537346,-77.0297449361
2011-01-02,THEFT F/AUTO,600 B/O SHERIDAN ST NW,38.9661075343,-77.0217392619
2011-01-02,THEFT F/AUTO,1900 B/O SUNDERLAND PL NW,38.9079035057,-77.0442310128
2011-01-02,ROBBERY,,0.0,0.0
2011-01-02,THEFT,1200 B/O MASSACHUSETTS AVE NW,38.9045724117,-77.0288507921
2011-01-02,THEFT,3500 B/O MASSACHUSETTS AVE NW,38.9265638382,-77.0703636766
2011-01-02,THEFT,1200 B/O CONNECTICUT AVE NW,38.9064393003,-77.0415778765
2011-01-02,STOLEN AUTO,400 B/O CHAPLIN ST SE,38.8841660511,-76.9419698669
2011-01-02,STOLEN AUTO,1200 B/O OATES ST NE,38.9048812407,-76.9868883052
2011-01-02,STOLEN AUTO,1700 B/O 29TH ST SE,38.8690088397,-76.9657995414
2011-01-02,THEFT,1300 B/O WISCONSIN AVE NW,38.9077342931,-77.063515706
2011-01-02,STOLEN AUTO,5400 B/O D ST SE,38.882924626,-76.9232593294
2011-01-02,THEFT,11TH ST NW & M ST NW,38.9056475289,-77.0270372517
2011-01-02,BURGLARY,3700 B/O MARTIN LUTHER KING JR AVE SE,38.8368606526,-77.0069028803
2011-01-02,THEFT,5500 B/O CONNECTICUT AVE NW,38.9635457365,-77.074784448
2011-01-02,THEFT,1900 B/O 17TH ST SE,38.8666265859,-76.9807781657
2011-01-02,THEFT,3300 B/O M ST NW,38.9050771715,-77.0669374578
